question,grading_notes,retriever,response,score
What is the capital and largest city of Mali?,Correct answer must name Bamako as both the capital and the largest city of Mali.,hybrid,"Mali’s capital and largest city is **Bamako**. The excerpt says, “**Capital and largest city Bamako**.”",pass
Who wrote the book for the stage musical The Sound of Music?,Correct answer must name Howard Lindsay and Russel Crouse as the book writers. Minor wording differences are fine if both names are included.,hybrid,The book for *The Sound of Music* was written by **Howard Lindsay and Russel Crouse**. The excerpt says: “**Book Howard Lindsay Russel Crouse**.”,pass
"Who are the reigning MLS Cup holders, according to the article lead?",A correct answer must identify Inter Miami CF as the reigning MLS Cup holders. Mentioning that they won the 2025 final by defeating Vancouver Whitecaps FC is acceptable but not required.,hybrid,"According to the article lead, **Inter Miami CF** are the reigning MLS Cup holders: “**Inter Miami CF are the reigning cup-holders, having defeated Vancouver Whitecaps FC in the 2025 final for their first title.**”",pass
"What is the United States Air Force, and when was it established as an independent branch of the U.S. Armed Forces?",Correct answer must identify the USAF as the air service branch of the United States Armed Forces (part of the Department of Defense) and state that it was established in 1947 by transfer of personnel from the Army Air Forces under the National Security Act of 1947.,hybrid,"The United States Air Force is “**the air service branch of the United States Armed Forces**” and “**part of the United States Department of Defense**.” It was “**established by transfer of personnel from the Army Air Forces with the enactment of the National Security Act of 1947**,” and it was officially formed as an independent service branch on **18 September 1947** when “**the first secretary of the Air Force, W. Stuart Symington, was sworn into office**.”",pass
"What did Mark Ruiz become after his former team, Team Orlando Diving, affiliated with the YMCA of Central Florida and became YCF Diving in 2010?",Correct answer must say that Mark Ruiz was named head coach of YCF Diving (or the renamed Team Orlando Diving) and that he continued in that position.,hybrid,"After Team Orlando Diving became YCF Diving in 2010, “**Mark Ruiz was named head coach and continues in this position today.**”",pass
"In what year was Yale University founded, and where is it located?","A correct answer must state that Yale University was founded in 1701 and that it is located in New Haven, Connecticut, United States.",hybrid,"Yale University was founded in **1701**. It is located in **New Haven, Connecticut, United States**: the excerpt says, “**Founded in 1701**” and gives its location as “**New Haven, Connecticut, United States**.”",pass
"According to the article, what authority does Article IV, Section 3, Clause 1 of the Constitution grant to Congress?",A correct answer must state that Congress has the authority to admit new states into the Union.,hybrid,"According to the excerpt, **Article I, Section 3, Clause 1** is not discussed. The relevant text says the **Commerce Clause** issue was about Congress’s power to regulate interstate commerce, but it does **not** mention **Article IV, Section 3, Clause 1** or what authority it grants to Congress.

So, based on the provided excerpts, **I can’t answer that from the documents**.",fail
"When did the original Salthill station open, and when did it reopen with DART services?",A correct answer must mention that the original station opened in May 1837 and that it reopened in 1984 with the arrival of DART services.,hybrid,"The original Salthill station opened in **May 1837**: “**The original Salthill station opened in May 1837.**”

It reopened with DART services in **1984**: “**It closed in 1960 and was electrified and reopened in 1984 with the arrival of DART services.**”",pass
"According to the lead text, what is Oprah Winfrey best known for, and how long did her talk show run in national syndication?","A correct answer must identify that she is best known for The Oprah Winfrey Show and state that it ran for 25 years, from 1986 to 2011, in national syndication.",hybrid,"According to the lead text, Oprah Winfrey is “best known for her talk show, **The Oprah Winfrey Show**,” which “**ran in national syndication for 25 years, from 1986 to 2011**.”",pass
"What is the summit elevation of Denali, the highest mountain peak in North America?","Correct answer must state Denali’s summit elevation as 20,310 feet (6,190 m) above sea level.",hybrid,"Denali’s summit elevation is **20,310 feet (6,190 m)** above sea level. The excerpt says: “**Denali has a summit elevation of 20,310 feet (6,190 m) above sea level**,” and also that it is “**the highest mountain peak in North America**.”",pass
"According to the article, what is a colt in horse terminology?",Correct answers must state that a colt is an intact (uncastrated) male horse under four years of age. Mentioning that it is a male horse and that it is not castrated/uncastrated is essential; the age limit under four years should also be included.,hybrid,"According to the excerpt, a colt is ""an intact (uncastrated) male horse under four years of age.""",pass
"Who created softball, where was it created, and in what year was it created?","A correct answer must name George Hancock, Chicago, and the year 1887.",hybrid,"Softball was created by **George Hancock**. The excerpt says, **""The game was created in 1887 in Chicago by George Hancock.""**",pass
Why was Muhammad Ali stripped of his boxing titles in 1967?,"A correct answer must mention that he refused to be drafted into the military because of his religious beliefs and ethical opposition to the Vietnam War, which led to a draft evasion conviction and the stripping of his titles.",hybrid,"Muhammad Ali was stripped of his boxing titles because he “**refused to be drafted into the military, owing to his religious beliefs and ethical opposition to the Vietnam War**.” The excerpt says that in 1967 he “**refused three times to step forward**” at induction, was arrested, and that “**the New York State Athletic Commission suspended his boxing license and the World Boxing Association stripped him of his title**.”",pass
What are the capital and largest city of Shizuoka Prefecture?,Correct answer must name Shizuoka as the capital and Hamamatsu as the largest city.,hybrid,"The capital of Shizuoka Prefecture is **Shizuoka**, and the largest city is **Hamamatsu**.

The excerpt states: “**Shizuoka is the capital and Hamamatsu is the largest city in Shizuoka Prefecture**.”",pass
"Who created the Norman Gunston character, and what kind of TV character was he?",Correct answer must identify Garry McDonald as the creator/performer and describe Norman Gunston as a satirical fictional TV character (or satirical TV character).,hybrid,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The article says he was an **“Australian TV character”** and specifically describes him as **“a satirical TV character performed by Australian actor and comedian Garry McDonald.”**,pass
"What two famous people were born or raised in Latrobe, Pennsylvania, according to the article?",A correct answer must identify Fred Rogers and Arnold Palmer as the people born or raised in Latrobe. Both names should be included.,hybrid,The article says Latrobe was the birthplace and childhood home of **Fred Rogers** and **Arnold Palmer**: “Latrobe was the birthplace and childhood home of children's television personality Fred Rogers and former professional golfer Arnold Palmer.”,pass
"What is the FGM-148 Javelin, and what earlier U.S. anti-tank missile did it replace in service?","A correct answer must identify the FGM-148 Javelin as an American-made man-portable anti-tank missile/system, and state that it replaced the M47 Dragon anti-tank missile in U.S. service.",hybrid,"The FGM-148 Javelin is described as an ""American-made man-portable anti-tank system in service since 1996 and continuously upgraded."" It is also called ""Advanced Anti-Tank Weapon System-Medium (AAWS-M)"" and is a ""fire-and-forget"" missile.

It ""replaced the M47 Dragon anti-tank missile in US service.""",pass
"When and where was the technical division of Lawson State Community College originally founded, and what was its original name?","A correct answer must mention that it was founded in 1949 in Birmingham, Alabama, and that its original name was Wenonah State Technical Institute.",hybrid,"The technical division was founded in **1949** in **Birmingham, Alabama**, and its original name was **“Wenonah State Technical Institute.”** The excerpt says: “The technical division of the college was founded as **Wenonah State Technical Institute in Birmingham in 1949**.”",pass
"What was the name of the NBC sitcom that made Jerry Seinfeld famous, and who did he co-create it with?",A correct answer must mention the sitcom Seinfeld and that Jerry Seinfeld co-created it with Larry David.,hybrid,"The NBC sitcom was **_Seinfeld_**, and Jerry Seinfeld co-created it with **Larry David**. The excerpt says it “**gained stardom playing a fictionalized version of himself in the NBC sitcom _Seinfeld_ (1989–1998), which he co-created and wrote with Larry David**.”",pass
"Who is the most recent winner of the Associated Press NFL Most Valuable Player Award, and what team does he play for?",Correct answer must identify Matthew Stafford and the Los Angeles Rams.,hybrid,"The most recent winner is **Matthew Stafford**, and he plays for the **Los Angeles Rams**. The excerpt says: “**The most recent winner is quarterback Matthew Stafford of the Los Angeles Rams**.”",pass
"According to the lead text, who does Christian tradition say chose Hermagoras to lead the Christian community in Aquileia and consecrated him as bishop?","A correct answer must mention both Mark and Peter: Mark chose Hermagoras to lead the community, and Peter consecrated him bishop.",hybrid,"According to the lead text, Christian tradition says **Mark** chose Hermagoras to lead the Christian community in Aquileia, and **Peter** consecrated him as bishop: “**Christian tradition states that he was chosen by Mark** … and that **he was consecrated bishop by Peter**.”",pass
"Who won the 2024 Yucatán Open doubles title, and who did they defeat in the final?","Correct answer must name Thomas Fancutt and Hunter Reese as the champions and state that they defeated Boris and Stefan Kozlov in the final. Mentioning the final score 7–5, 6–3 is acceptable but not required.",hybrid,"Thomas Fancutt and Hunter Reese won the 2024 Yucatán Open doubles title. The article says they “won the title after defeating Boris and Stefan Kozlov 7–5, 6–3 in the final.”",pass
"What American publisher co-founded Alfred A. Knopf, Inc., and was known for paying special attention to the quality of printing, binding, and design in his books?","Correct answer must identify Alfred Abraham Knopf Sr. (Alfred A. Knopf Sr.) and mention that he was a co-founder of Alfred A. Knopf, Inc.; it should also note his emphasis on the quality of printing, binding, and design in his books.",hybrid,"The American publisher was **Alfred A. Knopf Sr.** The excerpt says he was the “**co-founder of Alfred A. Knopf, Inc.**” and that he “**paid special attention to the quality of printing, binding and design in his books**.”",pass
"What is Maine's capital, and what is its most populous city?",Correct answer must name Augusta as the capital and Portland as the most populous city.,hybrid,"Maine’s capital is **Augusta**, and its most populous city is **Portland**.

The Maine article says: “**Capital Augusta**” and “**most populous city is Portland**.”",pass
"Which team did the Boston Celtics defeat in the 1986 NBA Finals, and what was the series result?",A correct answer must name the Houston Rockets and state that the Celtics won the series four games to two (or 4–2).,hybrid,The Boston Celtics defeated the **Houston Rockets** in the 1986 NBA Finals. The series result was **4–2**: “**The heavily favored Celtics defeated the Rockets four games to two** to win their then-record 16th NBA championship.”,pass
What philanthropic causes was Mary Elizabeth Butt particularly focused on?,Correct answer must mention both: care of emotionally disturbed children and development of library services. Minor paraphrase is acceptable.,hybrid,Mary Elizabeth Butt was “particularly focused on the care of emotionally disturbed children and the development of library services.”,pass
"According to the lead text, about how many civilian deaths were caused by World War I?","A correct answer must state that the civilian death toll was about 6 to 13 million. Responses should mention civilian deaths specifically, not total deaths or military deaths.",hybrid,"According to the lead text, the civilian death toll in World War I was ""about six to 13 million.""",pass
"In the 1900–01 Football League season, what method was used to separate clubs that finished level on points, and what factor did it favor if teams had the same goal difference?","A correct answer must mention the goal average system (goals scored divided by goals conceded) and note that, when goal difference was the same, it favored teams that had conceded fewer goals.",hybrid,"Clubs finishing level on points were separated by **“goal average (goals scored divided by goals conceded)”**. The excerpt says: **“In case one or more teams had the same goal difference, this system favoured those teams who had conceded fewer goals.”**",pass
"Who founded Nuclear Blast Records, and in what year and city was it founded?",A correct answer must name Markus Staiger and state that the label was founded in 1987 in Donzdorf (Germany).,hybrid,"Nuclear Blast Records was founded by **Markus Staiger** in **1987** in **Donzdorf, Germany**. The excerpt says: “**It was founded in 1987 by Markus Staiger in Donzdorf**.”",pass
"What are James Trotter’s career-high ATP singles and doubles rankings, and on what dates were they achieved?","A correct answer must mention both rankings and both dates: singles world No. 170 achieved on 21 April 2025, and doubles No. 142 achieved on 9 September 2024.",hybrid,"James Trotter’s career-high rankings are:

- **Singles:** **No. 170**, achieved on **21 April 2025** — the excerpt says he “**has a career high ATP singles ranking of world No. 170 achieved on 21 April 2025**.”
- **Doubles:** **No. 142**, achieved on **9 September 2024** — the excerpt says his “**doubles ranking of No. 142 achieved on 9 September 2024**.”",pass
"According to the lead text, what was Michael Jackson’s final album, and what distinction does it hold in terms of production cost?",A correct answer must name Invincible (2001) and state that it is the most expensive album ever made.,hybrid,"According to the lead text, Michael Jackson’s final album was **_Invincible_ (2001)**. It “**is the most expensive ever made**,” referring to its production cost.",pass
"What is the provincial capital of Baghlan Province, and what role does it play in the province?","A correct answer must name Pul-e Khumri and state that it functions as the main administrative, economic, and population center of the province.",hybrid,"The provincial capital of Baghlan Province is **Pul-e Khumri**. The excerpt says it “**functions as the main administrative, economic, and population center of the province**.”",pass
"Where is the Treasury of Atreus located, and what kind of tomb is it?","A correct answer must say that it is in Mycenae, Greece, and that it is a large tholos (beehive) tomb.",hybrid,"The Treasury of Atreus is located in **Mycenae, Greece**. It is described as **“a large tholos or beehive tomb”** and also as a **“tholos tomb at Mycenae, Greece.”**",pass
"How many species are in the genus Morus, and what are the three most common species called by color-based common names?","A correct answer must state that Morus consists of 19 species and identify the three common species as white mulberry (Morus alba), red mulberry (Morus rubra), and black mulberry (Morus nigra).",hybrid,"The excerpt says **“Morus, a genus of flowering plants in the family Moraceae, consists of 19 species”**.

It also says the three most common are referred to as **“white, red, and black”** mulberries, namely **“Morus alba, M. rubra, and M. nigra, respectively.”**",pass
"What was the Treaty Between the United States of America and the Russian Federation on Strategic Offensive Reductions, also called the Treaty of Moscow, and when did it come into force?","A correct answer must identify it as a strategic arms reduction / nuclear disarmament treaty between the United States and Russia, and state that it came into force on 1 June 2003.",hybrid,"The Treaty Between the United States of America and the Russian Federation on Strategic Offensive Reductions, also called the Treaty of Moscow, was “a strategic arms reduction treaty between the United States and Russia” and “both parties agreeing to limit their nuclear arsenal to between 1,700 and 2,200 operationally deployed warheads each.”

It “came into force on 1 June 2003” after ratification by the U.S. Senate and the State Duma.",pass
"What regions is the lion currently native to, according to the lead text?","Correct answer must mention that lions currently range only in Sub-Saharan Africa and India. Minor wording differences are fine, but both regions must be included.",hybrid,"According to the lead text, the lion is ""currently ranging only in **Sub-Saharan Africa and India**.""",pass
"Which Justin Bieber song was ranked number one on the Billboard Year-End Hot 100 singles of 2016, and how many nonconsecutive weeks did it spend at the top of the weekly Billboard Hot 100 during 2016?","A correct answer must name ""Love Yourself"" and state that it spent two nonconsecutive weeks at number one on the weekly Billboard Hot 100 during 2016.",hybrid,"The Justin Bieber song was **""Love Yourself""**. The excerpt says it ""came in at number one, spending a total of **two nonconsecutive weeks** at the top position of the Billboard Hot 100 during 2016.""",pass
"On what date is Christmas primarily observed, and what event does it commemorate?",A correct answer must state that Christmas is observed primarily on December 25 and that it commemorates the birth of Jesus Christ.,hybrid,"Christmas is primarily observed on **December 25**. It commemorates **“the nativity of Jesus”** — that is, **“the birth of Jesus Christ”**.",pass
"What are the three of the ""Big Four"" Grammy categories that Amy Winehouse won for ""Rehab"" at the 50th Annual Grammy Awards?","A correct answer must name the three ""Big Four"" categories won for ""Rehab"": Best New Artist, Record of the Year, and Song of the Year. It should clearly indicate these were won at the 50th Annual Grammy Awards in 2008.",hybrid,"Amy Winehouse won three of the “Big Four” categories for “Rehab”: **Best New Artist**, **Record of the Year**, and **Song of the Year**.

The excerpt says: “Her wins included three of the ‘Big Four’ categories— **Best New Artist, and Record of the Year and Song of the Year for ‘Rehab’** —along with Best Pop Vocal Album.”",pass
"Where is Unnecessary Mountain located, and what is the elevation of its taller south summit?","Correct answer must identify that Unnecessary Mountain is in the North Shore Mountains near Vancouver, British Columbia, Canada, and state that its taller south summit is 1,548 m (5,079 ft) high.",hybrid,"Unnecessary Mountain is “a peak in the North Shore Mountains near Vancouver, British Columbia, Canada.” Its taller south summit has an elevation of “1,548 m (5,079 ft).”",pass
"Which NFL team drafted Lee Vaughn, and in what round was he selected?",A correct answer must name the Dallas Cowboys and state that he was selected in the sixth round of the 1997 NFL draft (187th overall is optional but acceptable).,hybrid,Lee Vaughn was drafted by the **Dallas Cowboys**. The excerpt says he was selected by Dallas in the **sixth round**: “**Vaughn was selected by the Dallas Cowboys in the sixth round (187th overall) of the 1997 NFL draft**.”,pass
Who stars in La La Land as the struggling jazz pianist and the aspiring actress who fall in love while pursuing their dreams in Los Angeles?,"Correct answer must name both Ryan Gosling and Emma Stone, and identify that they play the struggling jazz pianist and the aspiring actress, respectively.",hybrid,The film stars **Ryan Gosling and Emma Stone** as the two leads. The excerpt says: “It stars **Ryan Gosling and Emma Stone as a struggling jazz pianist and an aspiring actress** who meet and fall in love while pursuing their dreams in Los Angeles.”,pass
"What is the stage name of Lamont Jody Hawkins, and what does it stand for?",A correct answer must identify that Lamont Jody Hawkins is known as U-God and explain that U-God is short for “Universal God Allah.”,hybrid,"Lamont Jody Hawkins’s stage name is **U-God**, which is “**short for Universal God Allah**.” The excerpt also says he is “**known by his stage name U-God (short for Universal God Allah)**.”",pass
"What is the population of Broken Arrow, Oklahoma, according to the 2020 census?","Correct answer must state that Broken Arrow has a population of 113,540 residents according to the 2020 census.",hybrid,"According to the excerpt, “Broken Arrow has a population of **113,540** residents” in the 2020 census.",pass
"What manga series did Akira Toriyama create that first brought him mainstream recognition, and for which he won the 1981 Shogakukan Manga Award for best shōnen series?",Correct answer must name Dr. Slump and indicate that it was the series that first brought Toriyama mainstream recognition and won the 1981 Shogakukan Manga Award for best shōnen series.,hybrid,"Akira Toriyama first achieved mainstream recognition with **_Dr. Slump_**. The excerpt says he ""first achieved mainstream recognition for creating the manga series **Dr. Slump**"" and that ""In 1981, **Dr. Slump** earned Toriyama the Shogakukan Manga Award for best shōnen or shōjo manga series of the year.""",pass
What is the capital of Samangan Province in Afghanistan?,A correct answer must name Aybak as the provincial capital of Samangan Province.,hybrid,The capital of Samangan Province is **Aybak**. The excerpt says: “**The city of Aybak serves as the provincial capital.**”,pass
"What is the Super Bowl, and when has it served as the final game of the NFL season?",A correct answer must identify the Super Bowl as the annual league championship game of the NFL in the United States and state that it has been the final game of every NFL season since 1966.,hybrid,"The Super Bowl is “the annual league championship game of the National Football League (NFL) of the United States.” It “has served as the final game of every NFL season since 1966.”

The excerpt also says: “Since 2022, the game has been played on the second Sunday in February.”",pass
"What constitutional amendment formally introduced nationwide Prohibition in the United States, and what amendment later repealed it?",A correct answer must name the Eighteenth Amendment as the amendment that introduced nationwide Prohibition and the Twenty-first Amendment as the amendment that repealed it.,hybrid,"Nationwide Prohibition was formally introduced by the **Eighteenth Amendment** to the U.S. Constitution, and it was later repealed by the **Twenty-first Amendment**.

The excerpt says Prohibition ""was formally introduced nationwide under the **Eighteenth Amendment**"" and ""ended with the ratification of the **Twenty-first Amendment**, which repealed the Eighteenth Amendment.""",pass
What jewelry line did Ambyr Childers co-create with Kate Bosworth?,Correct answer must identify the jewelry line as Ambyr Childers Jewelry.,hybrid,Ambyr Childers and Kate Bosworth co-created **Ambyr Childers Jewelry**: “**Childers and Kate Bosworth co-created Ambyr Childers Jewelry.**”,pass
What are the two oldest universities in the English-speaking world that are mentioned as being in England?,A correct answer must name both universities: the University of Oxford and the University of Cambridge.,hybrid,"The two oldest universities in the English-speaking world mentioned as being in England are **the University of Oxford** and **the University of Cambridge**.

The England excerpt says: “**England is home to the two oldest universities in the English-speaking world: the University of Oxford … and the University of Cambridge**.”",pass
"Where does Wisconsin Highway 34 begin and end on its current route, and which cities does it connect as a shortcut in central Wisconsin?","A correct answer must state that WIS 34 runs from Wisconsin Rapids at its southern end to Knowlton at I-39 on its northern end, and that it connects Wausau and Wisconsin Rapids as a shortcut route in central Wisconsin.",hybrid,Wisconsin Highway 34’s current route begins at **WIS 13 / WIS 73 in Wisconsin Rapids** and ends at **I-39 / US 51 in Knowlton**. The excerpt says it “**runs north–south as a shortcut route in central Wisconsin connecting Wausau and Wisconsin Rapids**.”,pass
"According to the article, who was the first first lady of the United States, and how many total first ladies have there been?",A correct answer must name Martha Washington as the first first lady and state that there have been 54 total first ladies.,hybrid,"According to the articles, the **first first lady of the United States was Martha Washington**. The list in the President of the United States article shows the first ladies from **Martha Washington** through **Jill Biden**, which totals **47 first ladies**.",fail
"How many matches did each team play in the 2015 Meiji Yasuda J3 League, and how was the league structured in terms of rounds?",A correct answer must state that each team played 36 matches total and that the league was played in three rounds.,hybrid,"The 2015 Meiji Yasuda J3 League was “**played in three rounds, each team playing a total of 36 matches**.”",pass
"What was Jimmy Carter's home state, where he was born and from which he was relatively little known outside during his 1976 presidential campaign?","Correct answer must identify Georgia as Carter's home state. It should indicate that he was born in Plains, Georgia or simply in Georgia.",hybrid,"Jimmy Carter's home state was **Georgia**. The excerpt says he was born in ""Plains, Georgia,"" and that in 1976 he was a ""dark horse little known outside his home state.""",pass
"What field is David Lloyd Jones especially known for writing about, according to the lead text?",A correct answer must mention Australian orchids (or orchids in Australia / Australian orchid species) as the main area he is especially known for.,hybrid,"According to the lead text, David Lloyd Jones is especially known for writing about **Australian orchids**: he is “the author of many books and papers, **especially on Australian orchids**.”",pass
"What American actor, filmmaker, and musician was born on May 31, 1930, rose to fame in Rawhide and the Dollars Trilogy, and later served as mayor of Carmel-by-the-Sea, California?","Correct answer must identify Clint Eastwood (Clinton Eastwood Jr.). It should mention his birth date or at least that he was born in 1930, and include at least one of the fame/role clues (Rawhide, the Man with No Name, or mayor of Carmel-by-the-Sea).",hybrid,"Clint Eastwood. The excerpt says he was “born Clinton Eastwood Jr. (1930-05-31) May 31, 1930,” “rose to international fame” with “Rawhide” and Sergio Leone’s “Dollars Trilogy,” and “served for two years as the mayor of Carmel-by-the-Sea, California.”",pass
"According to the article, what company originally developed and sold the Frappuccino before Starbucks bought the Coffee Connection?","Correct answer must identify George Howell’s Eastern Massachusetts coffee shop chain, the Coffee Connection, as the original developer and seller of the Frappuccino. Mentioning Andrew Frank as the marketing director who created and named it is acceptable but not required.",hybrid,"According to the article, the Frappuccino was originally developed, trademarked, and sold by **George Howell's Eastern Massachusetts coffee shop chain, the Coffee Connection**: “*The Frappuccino was originally developed, trademarked, and sold by George Howell's Eastern Massachusetts coffee shop chain the Coffee Connection*.”",pass
What was the name of the asteroid the International Astronomical Union named in honor of Stamatios Krimigis in 1999?,Correct answer must identify asteroid 8323 Krimigis (formerly 1979 UH).,hybrid,"The International Astronomical Union named the asteroid **8323 Krimigis** in his honor: “In 1999, the International Astronomical Union named the asteroid **8323 Krimigis** (previously 1979 UH) in his honor.”",pass
Which NFL teams did Ricardo McDonald play for during his career?,"Correct answer must name all three teams mentioned in the lead: the Cincinnati Bengals, Chicago Bears, and Denver Broncos.",hybrid,"Ricardo McDonald played for the **Cincinnati Bengals**, **Chicago Bears**, and **Denver Broncos**. The excerpt says he was “a former linebacker in the National Football League (NFL) that played for the Cincinnati Bengals, Chicago Bears, and the Denver Broncos.”",pass
"When was the Ministry of Digital Affairs in Poland founded, dissolved, and founded again?","Correct answer must mention all three dates/events: founded in December 2015, dissolved in October 2020, and founded again in May 2023.",hybrid,"The Ministry of Digital Affairs in Poland was ""founded 7 December 2015,"" ""dissolved 7 October 2020,"" and ""founded again in May 2023.""",pass
"Which city hosted the 2020 Summer Olympics, which were postponed to 2021 due to the COVID-19 pandemic?","Correct answer must name Tokyo. It should indicate that Tokyo hosted the 2020 Summer Olympics, and may mention the postponement to 2021 due to COVID-19.",hybrid,"Tokyo hosted the 2020 Summer Olympics. The excerpt says the Games were “held from July 23 to August 8, 2021, in **Tokyo, Japan**,” and that “**Tokyo was selected as the host city**” and the Olympics were postponed “to 2021 due to the COVID-19 pandemic.”",pass
Which song by Chubby Checker returned to number one on the Billboard Hot 100 in 1962 after having first topped the chart in 1960?,"Correct answer must identify ""The Twist"" and indicate that it returned to the number-one spot in 1962 after previously reaching number one in 1960.",hybrid,"Chubby Checker’s song **""The Twist""** returned to number one in 1962. The excerpt says it “**had topped the Hot 100 in September 1960**” and then “**was re-released**,” and that it was “**the first time that a single which had previously reached number one returned to the top spot as part of a second distinct chart run**.”",pass
What was significant about Novak Djokovic’s win at the 2016 French Open in terms of his career Grand Slam and the major titles he held at once?,"A correct answer must mention that Djokovic completed a career Grand Slam by winning all four major tournaments, and that he also achieved a non-calendar-year Grand Slam by holding all four major titles at once. It is acceptable to state that he was the first man since Rod Laver in 1969 to do so.",hybrid,"Djokovic’s 2016 French Open win was significant because it completed his **Career Grand Slam** and also gave him the **non-calendar-year Grand Slam** by holding all four major titles at once. The excerpt says that in 2016 he became “**the only player to hold all four Grand Slams and the Olympic gold medal at the same time**” in the context of the broader record, and specifically lists: “**Novak Djokovic completed the feat in singles in 2016**” for the non-calendar-year Grand Slam. It also notes that he had won Wimbledon and the US Open in 2015, then the Australian Open and French Open in 2016, meaning he held “all four of these titles at the same time.”",pass
"Where does Sheffield United F.C. play its home games, and what are they nicknamed due to Sheffield's history of cutlery production?","A correct answer must state that Sheffield United have played home games at Bramall Lane since their formation, and that they are nicknamed ""the Blades.""",hybrid,"Sheffield United F.C. play their home games at **Bramall Lane**: “**The team have played home games at Bramall Lane since their formation**.”

They are nicknamed **“the Blades”**: “**They are nicknamed ‘the Blades’ due to Sheffield's history of cutlery production**.”",pass
"In 1819, what decisive battle did General Simón Bolívar lead Colombian nationalists to win over Spain on August 7?",The answer must identify the Battle of Boyacá.,hybrid,"In 1819, on August 7, General Simón Bolívar led Colombian nationalists to victory over Spain in the **Battle of Boyacá**. The 1819 excerpt says: “**August 7 – Battle of Boyacá : Simón Bolívar is victorious over the Royalist Army in Colombia. Colombia acquires its definitive independence from Spanish rule.**”",pass
