question,grading_notes,retriever,response,score
"Who was the American actor, filmmaker, and musician born on May 31, 1930, who became famous in Rawhide and the Dollars Trilogy and later served as mayor of Carmel-by-the-Sea, California?","Correct answer must identify Clint Eastwood (Clinton Eastwood Jr.). It should mention his birth date or at least that he was born in 1930, and include at least one of the fame/role clues (Rawhide, the Man with No Name, or mayor of Carmel-by-the-Sea).",hybrid,"It was **Clint Eastwood**. The excerpt says: “**Clinton Eastwood Jr. (born May 31, 1930)** is an American actor, filmmaker and musician,” and that he “rose to international fame” in “**Rawhide**” and the “**Dollars Trilogy**,” and “**served for two years as the mayor of Carmel-by-the-Sea, California**.”",pass
"When was Poland’s Ministry of Digital Affairs first established, later dissolved, and then re-established?","Correct answer must mention all three dates/events: founded in December 2015, dissolved in October 2020, and founded again in May 2023.",hybrid,"Poland’s Ministry of Digital Affairs was first established on **7 December 2015**, later **dissolved on 7 October 2020**, and then **re-established on 1 May 2023**. The excerpt says it was “**founded in December 2015, dissolved in October 2020 and founded again in May 2023**.”",pass
"Who took over leadership of Forza Italia after Silvio Berlusconi died in 2023, and what position did he hold in the party before that?",A correct answer must name Antonio Tajani and state that he had previously been vice president and coordinator (and now functions as secretary).,hybrid,"After Silvio Berlusconi died in 2023, **Antonio Tajani** took over leadership of Forza Italia. The excerpt says the party “**has since been led by Antonio Tajani**,” and that he “**had been vice president and coordinator and now functions as secretary**.”",pass
"What injury forced Ben Darwin to retire from rugby, and during which match did it occur?","Correct answer must mention that he sustained a neck injury, and that it occurred during the Wallabies' Rugby World Cup semi-final win against the All Blacks.",hybrid,"Ben Darwin “sustained a **neck injury** that forced him to retire from rugby,” and it happened “during the Wallabies' **World Cup semi-final win against the All Blacks**.”",pass
Who is credited with writing the book for the stage version of The Sound of Music?,Correct answer must name Howard Lindsay and Russel Crouse as the book writers. Minor wording differences are fine if both names are included.,hybrid,"The book for the stage version of *The Sound of Music* is credited to **Howard Lindsay and Russel Crouse**: the excerpt says, “**Book Howard Lindsay Russel Crouse**.”",pass
"Which U.S. constitutional amendment established Prohibition nationwide, and which later amendment repealed it?",A correct answer must name the Eighteenth Amendment as the amendment that introduced nationwide Prohibition and the Twenty-first Amendment as the amendment that repealed it.,hybrid,"Prohibition was established nationwide by **the Eighteenth Amendment**. The excerpt says it was “**formally introduced nationwide under the Eighteenth Amendment to the United States Constitution**.”

It was later repealed by **the Twenty-first Amendment**. The excerpt says, “**Prohibition ended with the ratification of the Twenty-first Amendment, which repealed the Eighteenth Amendment on December 5, 1933.**”",pass
Which NFL teams did Ricardo McDonald play for in his career?,"Correct answer must name all three teams mentioned in the lead: the Cincinnati Bengals, Chicago Bears, and Denver Broncos.",hybrid,"Ricardo McDonald played for the **Cincinnati Bengals**, **Chicago Bears**, and **Denver Broncos**. The article says he was “a former linebacker in the National Football League (NFL) that played for the Cincinnati Bengals, Chicago Bears, and the Denver Broncos.”",pass
"After Silvio Berlusconi’s death in 2023, who became the leader of Forza Italia, and what had his role in the party been previously?",A correct answer must name Antonio Tajani and state that he had previously been vice president and coordinator (and now functions as secretary).,hybrid,"After Silvio Berlusconi’s death in 2023, **Antonio Tajani** became the leader of Forza Italia. The article says the party “**has since been led by Antonio Tajani**,” and that he “**had been vice president and coordinator and now functions as secretary**.”",pass
"What is the U.S. Air Force, and when did it become an independent branch of the U.S. Armed Forces?",Correct answer must identify the USAF as the air service branch of the United States Armed Forces (part of the Department of Defense) and state that it was established in 1947 by transfer of personnel from the Army Air Forces under the National Security Act of 1947.,hybrid,"The U.S. Air Force is “the air service branch of the United States Armed Forces.” It was “established by transfer of personnel from the Army Air Forces with the enactment of the National Security Act of 1947,” and it became an independent service branch on “18 September 1947,” when the first secretary of the Air Force was sworn in.",pass
"What year was Emmanuel Macron elected President of France, and which candidate did he defeat in the runoff?",Correct answer must mention that he was elected in 2017 and that he defeated Marine Le Pen in the second round.,hybrid,"Emmanuel Macron was elected President of France in **2017**. In the runoff, he defeated **Marine Le Pen** — the excerpt says he was elected “on **7 May 2017**” with “**66.1% of the vote to Marine Le Pen's 33.9%**.”",pass
"What amendment to the U.S. Constitution made Prohibition nationwide, and what later amendment ended it?",A correct answer must name the Eighteenth Amendment as the amendment that introduced nationwide Prohibition and the Twenty-first Amendment as the amendment that repealed it.,hybrid,"Prohibition was made nationwide by the **Eighteenth Amendment** to the U.S. Constitution: it was “**formally introduced nationwide under the Eighteenth Amendment**.”

It was later ended by the **Twenty-first Amendment**, which “**repealed the Eighteenth Amendment on December 5, 1933**.”",pass
"Which injury ended Ben Darwin’s rugby career, and in what match did it happen?","Correct answer must mention that he sustained a neck injury, and that it occurred during the Wallabies' Rugby World Cup semi-final win against the All Blacks.",hybrid,Ben Darwin’s rugby career ended because he “**sustained a neck injury that forced him to retire from rugby**.” It happened “**during the Wallabies' World Cup semi-final win against the All Blacks**” in the **2003 Rugby World Cup**.,pass
What NFL teams did Ricardo McDonald play on during his playing career?,"Correct answer must name all three teams mentioned in the lead: the Cincinnati Bengals, Chicago Bears, and Denver Broncos.",hybrid,"Ricardo McDonald played for the **Cincinnati Bengals**, **Chicago Bears**, and **Denver Broncos**. The excerpt says he “played for the Cincinnati Bengals, Chicago Bears, and the Denver Broncos.”",pass
Which native Egyptian pharaoh was the last one mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,hybrid,"The last native Egyptian pharaoh mentioned in the lead text is **Nectanebo II**.

The excerpt says: **""The last native king Nectanebo II c. 360–342 BC""** and also that **""The last native pharaoh was Nectanebo II of the short-lived 30th Dynasty.""**",pass
"Who was the architect of Target House in London, and when was it designed and finished?","A correct answer must name Rodney Gordon of Tripos Architects as the designer, and include that the building was designed in 1979 and completed in 1984.",hybrid,"According to the Target House, London excerpt, the architect was **Rodney Gordon** of Tripos Architects. It says, “**The building was designed in 1979 and completed in 1984.**”",pass
Can you explain what the United States Air Force is and when it was established as a separate branch of the armed forces?,Correct answer must identify the USAF as the air service branch of the United States Armed Forces (part of the Department of Defense) and state that it was established in 1947 by transfer of personnel from the Army Air Forces under the National Security Act of 1947.,hybrid,"The United States Air Force (USAF) is “**the air service branch of the United States Armed Forces**.” It is “**a part of the United States Department of Defense (DoD)**” and is one of the U.S. uniformed services.

It was established as a separate branch on **18 September 1947**. The excerpt says it “**was established by transfer of personnel from the Army Air Forces with the enactment of the National Security Act of 1947**” and that it “**began operating as a separate service... on Sept. 18, 1947**.”",pass
"According to the article, who was the first First Lady of the United States, and how many First Ladies have there been in total?",A correct answer must name Martha Washington as the first first lady and state that there have been 54 total first ladies.,hybrid,"The excerpts identify **Martha Washington** as the first First Lady of the United States — the list says: “**Martha Washington** …” under “First ladies of the United States.”

As for the total number of First Ladies, the provided excerpts **do not state an explicit total**. They only show a list of names.",fail
"Who directed Bad Boys II, and what year was it released?",A correct answer must identify Michael Bay as the director and 2003 as the release year.,hybrid,Bad Boys II was directed by **Michael Bay** and was released in **2003**. The article says: “**Bad Boys II is a 2003 American action comedy film directed by Michael Bay**.”,pass
Which Chubby Checker song went back to number one on the Billboard Hot 100 in 1962 after first reaching the top in 1960?,"Correct answer must identify ""The Twist"" and indicate that it returned to the number-one spot in 1962 after previously reaching number one in 1960.",hybrid,"Chubby Checker’s song **""The Twist""** went back to number one in 1962 after first reaching the top in 1960. The excerpt says: **“A week later, Chubby Checker took the top spot with ‘The Twist.’ The single had topped the Hot 100 in September 1960”** and that it **“returned to the top spot as part of a second distinct chart run.”**",pass
"Who designed Target House in London, and what were its design and completion dates?","A correct answer must name Rodney Gordon of Tripos Architects as the designer, and include that the building was designed in 1979 and completed in 1984.",hybrid,Target House in London was designed by “British modernist architect Rodney Gordon (1933–2008) of Tripos Architects.” The excerpt says it “was designed in 1979 and completed in 1984.”,pass
What company first developed and marketed the Frappuccino before Starbucks bought Coffee Connection?,"Correct answer must identify George Howell’s Eastern Massachusetts coffee shop chain, the Coffee Connection, as the original developer and seller of the Frappuccino. Mentioning Andrew Frank as the marketing director who created and named it is acceptable but not required.",hybrid,"The Frappuccino was first developed, trademarked, and sold by **George Howell's Eastern Massachusetts coffee shop chain, the Coffee Connection**. The excerpt says: “**The Frappuccino was originally developed, trademarked, and sold by George Howell's Eastern Massachusetts coffee shop chain the Coffee Connection**.”",pass
"According to the article, what power does Article IV, Section 3, Clause 1 of the Constitution give Congress?",A correct answer must state that Congress has the authority to admit new states into the Union.,hybrid,"The provided excerpts do not mention **Article IV, Section 3, Clause 1** of the Constitution or describe any power it gives Congress. I can’t answer from these documents alone.",fail
"Who is identified as the first First Lady of the United States in the article, and what is the total number of First Ladies?",A correct answer must name Martha Washington as the first first lady and state that there have been 54 total first ladies.,hybrid,The articles identify **Martha Washington** as “**The first first lady**” and say there have been a **“total of 54 first ladies.”**,pass
What Chubby Checker song returned to the Billboard Hot 100’s number one spot in 1962 after originally hitting number one in 1960?,"Correct answer must identify ""The Twist"" and indicate that it returned to the number-one spot in 1962 after previously reaching number one in 1960.",hybrid,"Chubby Checker’s song **“The Twist”** returned to the Billboard Hot 100’s number one spot in 1962 after originally hitting number one in 1960. The excerpt says, **“Chubby Checker's 1960 cover version of the song reached number one on the Billboard Hot 100 on September 19, 1960”** and later **“topped the Hot 100 again for two weeks starting on January 13, 1962.”**",pass
"What does “The O.C.” mean, and where in Southern California is the show set?","Correct answer must state that ""O.C."" is an initialism for Orange County and identify Newport Beach / Orange County, California as the Southern California setting.",hybrid,"“The O.C.” is “an initialism of Orange County,” which is “the location in Southern California in which the series is set.”",pass
"Who won Eurovision 2023, and what song did they perform?","A correct answer must name Sweden as the winner and identify the song as ""Tattoo""; mentioning Loreen as the performer is also correct but not strictly required.",hybrid,"Sweden won Eurovision 2023. The winning song was **""Tattoo""**, performed by **Loreen**: “**The winner was Sweden with the song ""Tattoo"", performed by Loreen**.”",pass
"What authority is granted to Congress by Article IV, Section 3, Clause 1 of the Constitution, according to the article?",A correct answer must state that Congress has the authority to admit new states into the Union.,hybrid,"According to the article, Article IV, Section 3, Clause 1 “grants to Congress the authority to admit new states into the Union.”",pass
"What subject is David Lloyd Jones especially known for writing about, according to the lead text?",A correct answer must mention Australian orchids (or orchids in Australia / Australian orchid species) as the main area he is especially known for.,hybrid,"According to the lead text, David Lloyd Jones is especially known for writing about **Australian orchids**: he is described as “the author of many books and papers, especially on Australian orchids.”",pass
"What was the damage amount from the 2011 Joplin tornado, and what makes it notable historically because of how expensive it was?","A correct answer must mention that the damage totaled $2.8 billion, with an approximate modern equivalent of about $4 billion, and that this made it the costliest single tornado in U.S. history.",hybrid,The 2011 Joplin tornado caused **$2.8 billion in damage** (in 2011 USD). The article says this made it **“the costliest tornado in U.S. history”** and also **“the costliest single tornado in U.S. history.”**,pass
When was Bill Tierney hired as head coach by the Philadelphia Waterdogs?,A correct answer must state that Bill Tierney was hired in March 2024; mentioning that he became head coach is acceptable.,hybrid,"Bill Tierney was hired as head coach by the Philadelphia Waterdogs in **March 2024**. The excerpt says, “**In March 2024 the Waterdogs hired Bill Tierney as Head Coach**” and also lists him as “**Head coach – Bill Tierney**.”",pass
"Who was the winner of the Eurovision Song Contest in 2023, and which song did they win with?","A correct answer must name Sweden as the winner and identify the song as ""Tattoo""; mentioning Loreen as the performer is also correct but not strictly required.",hybrid,"The winner of the Eurovision Song Contest 2023 was **Sweden**, with the song **""Tattoo""**. The excerpt says: “**The winner was Sweden with the song ""Tattoo""**,” performed by Loreen.",pass
"What are the current start and end points of Wisconsin Highway 34, and which cities does it connect as a shortcut in central Wisconsin?","A correct answer must state that WIS 34 runs from Wisconsin Rapids at its southern end to Knowlton at I-39 on its northern end, and that it connects Wausau and Wisconsin Rapids as a shortcut route in central Wisconsin.",hybrid,Wisconsin Highway 34 currently starts at **“WIS 13 / WIS 73 in Wisconsin Rapids”** on the south end and ends at **“I-39 / US 51 in Knowlton”** on the north end. The article says it **“runs north–south as a shortcut route in central Wisconsin connecting Wausau and Wisconsin Rapids.”**,pass
"What is the elevation at the summit of Denali, the highest peak in North America?","Correct answer must state Denali’s summit elevation as 20,310 feet (6,190 m) above sea level.",hybrid,"Denali’s summit elevation is **20,310 feet (6,190 m)** above sea level. The excerpt says it is “**the highest mountain peak in North America, with a summit elevation of 20,310 feet (6,190 m) above sea level**.”",pass
"According to the lead text, what field is David Lloyd Jones especially known for writing about?",A correct answer must mention Australian orchids (or orchids in Australia / Australian orchid species) as the main area he is especially known for.,hybrid,"According to the lead text, David Lloyd Jones is especially known for writing about **Australian orchids**: he is “**the author of many books and papers, especially on Australian orchids**.”",pass
"What does the title “The O.C.” stand for, and what Southern California location serves as the setting for the series?","Correct answer must state that ""O.C."" is an initialism for Orange County and identify Newport Beach / Orange County, California as the Southern California setting.",hybrid,"“The O.C.” is “an initialism of **Orange County**,” and the series is set in **Newport Beach, California**, in Southern California. The excerpt says: “The series title, ‘O.C.,’ is an initialism of Orange County, the location in Southern California in which the series is set,” and the story centers on characters living in “the high-class world of Newport Beach.”",pass
"Who are the current MLS Cup champions, according to the article lead?",A correct answer must identify Inter Miami CF as the reigning MLS Cup holders. Mentioning that they won the 2025 final by defeating Vancouver Whitecaps FC is acceptable but not required.,hybrid,"According to the article lead, the current MLS Cup champions are **Inter Miami CF**: “**Inter Miami CF are the reigning cup-holders, having defeated Vancouver Whitecaps FC in the 2025 final for their first title.**”",pass
"How high is Denali at its summit, since it is the tallest mountain in North America?","Correct answer must state Denali’s summit elevation as 20,310 feet (6,190 m) above sea level.",hybrid,"Denali’s summit elevation is **20,310 feet (6,190 m)** above sea level: it is described as “the highest mountain peak in North America, with a summit elevation of **20,310 feet (6,190 m)** above sea level.”",pass
What asteroid did the International Astronomical Union name after Stamatios Krimigis in 1999?,Correct answer must identify asteroid 8323 Krimigis (formerly 1979 UH).,hybrid,"The International Astronomical Union named the asteroid **8323 Krimigis** after Stamatios Krimigis in 1999: “**In 1999, the International Astronomical Union named the asteroid 8323 Krimigis … in his honor.**”",pass
"What state was Jimmy Carter from, where he was born and was relatively unknown outside of it during his 1976 presidential campaign?","Correct answer must identify Georgia as Carter's home state. It should indicate that he was born in Plains, Georgia or simply in Georgia.",hybrid,"Jimmy Carter was from **Georgia**. The excerpt says he was born in **“Plains, Georgia”** and that in the 1976 campaign he was “**a dark horse little known outside his home state**.”",pass
"According to the lead text, what is Oprah Winfrey best known for, and how many years did her talk show air in national syndication?","A correct answer must identify that she is best known for The Oprah Winfrey Show and state that it ran for 25 years, from 1986 to 2011, in national syndication.",hybrid,"According to the lead text, Oprah Winfrey is “best known for her talk show, *The Oprah Winfrey Show*,” which “ran in national syndication for **25 years**, from 1986 to 2011.”",pass
"According to the article lead, who is holding the MLS Cup right now?",A correct answer must identify Inter Miami CF as the reigning MLS Cup holders. Mentioning that they won the 2025 final by defeating Vancouver Whitecaps FC is acceptable but not required.,hybrid,"According to the lead of **List of MLS Cup finals**, **Inter Miami CF are the reigning cup-holders**, since they “**defeated Vancouver Whitecaps FC in the 2025 final for their first title**.”",pass
Why were Muhammad Ali’s boxing titles taken away in 1967?,"A correct answer must mention that he refused to be drafted into the military because of his religious beliefs and ethical opposition to the Vietnam War, which led to a draft evasion conviction and the stripping of his titles.",hybrid,"Muhammad Ali’s titles were taken away because he refused to be drafted into the military. The excerpt says that in 1967 he “refused to be drafted into the military, owing to his religious beliefs and ethical opposition to the Vietnam War,” and that he “was found guilty of draft evasion and stripped of his boxing titles.”

",pass
What was the asteroid called that the International Astronomical Union named in Stamatios Krimigis’s honor in 1999?,Correct answer must identify asteroid 8323 Krimigis (formerly 1979 UH).,hybrid,"The asteroid was **8323 Krimigis** — the excerpt says: “In 1999, the International Astronomical Union named the asteroid **8323 Krimigis** (previously 1979 UH) in his honor.”",pass
Who are the four riders named in the lead text as having each won the Tour de France five times?,"A correct answer must name all four riders: Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin. Minor spelling/diacritic variations are acceptable.",hybrid,"The four riders are **Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin**.

The lead text says: **“Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin have won the most Tours with five each.”**",pass
Which city is both the capital and largest in Mali?,Correct answer must name Bamako as both the capital and the largest city of Mali.,hybrid,"The capital and largest city of Mali is **Bamako** — the excerpt says, **“Capital and largest city Bamako.”**",pass
"What did Mark Ruiz become after his former team, Team Orlando Diving, joined the YMCA of Central Florida and became YCF Diving in 2010?",Correct answer must say that Mark Ruiz was named head coach of YCF Diving (or the renamed Team Orlando Diving) and that he continued in that position.,hybrid,"After Team Orlando Diving became YCF Diving in 2010, “Mark Ruiz was named head coach and continues in this position today.”",pass
Why was Novak Djokovic’s win at the 2016 French Open significant in relation to his career Grand Slam and the major championships he had at the same time?,"A correct answer must mention that Djokovic completed a career Grand Slam by winning all four major tournaments, and that he also achieved a non-calendar-year Grand Slam by holding all four major titles at once. It is acceptable to state that he was the first man since Rod Laver in 1969 to do so.",hybrid,"Novak Djokovic’s 2016 French Open win was significant because it completed his **career Grand Slam** and also gave him a **non-calendar year Grand Slam**.

The excerpt says: **“Novak Djokovic's victory at this tournament in his 20th Grand Slam final completed his career Grand Slam of all four major tournaments”** and also that he **“achieved a non-calendar year Grand Slam, becoming the first man since Rod Laver in 1969 to hold all four major titles at once.”**

So, in relation to the majors, he had **all four major championships simultaneously**.",pass
What led to Muhammad Ali being stripped of his boxing championships in 1967?,"A correct answer must mention that he refused to be drafted into the military because of his religious beliefs and ethical opposition to the Vietnam War, which led to a draft evasion conviction and the stripping of his titles.",hybrid,"Muhammad Ali was stripped of his boxing championships because he **refused to be drafted into the military** in 1967. The excerpt says that he “**refused to be drafted into the military, owing to his religious beliefs and ethical opposition to the Vietnam War**,” and later, “**After Ali's title defense against Zora Folley on March 22, he was stripped of his title due to his refusal to be drafted to army service.**”

",pass
"Which city was the host of the 2020 Summer Olympics, which were delayed until 2021 because of the COVID-19 pandemic?","Correct answer must name Tokyo. It should indicate that Tokyo hosted the 2020 Summer Olympics, and may mention the postponement to 2021 due to COVID-19.",hybrid,"Tokyo was the host city. The excerpt says the Games were held in “**Tokyo, Japan**” and that they “**were postponed until 2021**” because of the COVID-19 pandemic.",pass
"When did Seapoint railway station first open, and what was it originally called?",Correct answer must mention that the station opened on 1 July 1862 and that it was originally called Monkstown & Seapoint (or Monkstown and Seapoint).,hybrid,"Seapoint railway station first opened on **1 July 1862**, and it was originally called **“Monkstown & Seapoint.”** The excerpt says it “**opened on 1 July 1862 (as Monkstown and Seapoint)**” and was “**originally called Monkstown & Seapoint**.”",pass
When did the Philadelphia Waterdogs bring on Bill Tierney as their head coach?,A correct answer must state that Bill Tierney was hired in March 2024; mentioning that he became head coach is acceptable.,hybrid,"The excerpt says, “In March 2024 the Waterdogs hired Bill Tierney as Head Coach.”",pass
"What position did Mark Ruiz take after his former team, Team Orlando Diving, affiliated with the YMCA of Central Florida and was renamed YCF Diving in 2010?",Correct answer must say that Mark Ruiz was named head coach of YCF Diving (or the renamed Team Orlando Diving) and that he continued in that position.,hybrid,"Mark Ruiz was named **head coach**. The excerpt says: “In 2010 Mark's former team, Team Orlando Diving (TOD) affiliated with the YMCA of Central Florida and became YCF Diving. **Mark Ruiz was named head coach and continues in this position today.**”",pass
"Which two well-known people were born or raised in Latrobe, Pennsylvania, according to the article?",A correct answer must identify Fred Rogers and Arnold Palmer as the people born or raised in Latrobe. Both names should be included.,hybrid,"According to the Latrobe, Pennsylvania article, two well-known people born or raised there were **Fred Rogers** and **Arnold Palmer**. The excerpt says Latrobe “was the birthplace and childhood home of children's television personality **Fred Rogers** and former professional golfer **Arnold Palmer**.”",pass
"Which city held the 2020 Summer Olympics, postponed to 2021 due to the COVID-19 pandemic?","Correct answer must name Tokyo. It should indicate that Tokyo hosted the 2020 Summer Olympics, and may mention the postponement to 2021 due to COVID-19.",hybrid,"Tokyo, Japan — the 2020 Summer Olympics were “held from July 23 to August 8, 2021, in Tokyo, Japan” after being “postponed until 2021 ... as a result of the global COVID-19 pandemic.”",pass
"What is the Treaty Between the United States of America and the Russian Federation on Strategic Offensive Reductions, also known as the Treaty of Moscow, and when did it enter into force?","A correct answer must identify it as a strategic arms reduction / nuclear disarmament treaty between the United States and Russia, and state that it came into force on 1 June 2003.",hybrid,"The Treaty Between the United States of America and the Russian Federation on Strategic Offensive Reductions, or the Treaty of Moscow, was ""a strategic arms reduction treaty between the United States and Russia"" that limited their nuclear arsenals to ""between 1,700 and 2,200 operationally deployed warheads each.""

It ""came into force on 1 June 2003"" after ratification by the U.S. Senate and the State Duma.",pass
What city is the capital and biggest city of Mali?,Correct answer must name Bamako as both the capital and the largest city of Mali.,hybrid,Mali’s “capital and largest city is Bamako.”,pass
"When did the original Salthill station first open, and when was it reopened for DART services?",A correct answer must mention that the original station opened in May 1837 and that it reopened in 1984 with the arrival of DART services.,hybrid,The original Salthill station first opened in **May 1837**: “**The original Salthill station opened in May 1837**.” It “**was electrified and reopened in 1984 with the arrival of DART services**.”,pass
"Can you explain what the Treaty Between the United States of America and the Russian Federation on Strategic Offensive Reductions, or Treaty of Moscow, was and when it took effect?","A correct answer must identify it as a strategic arms reduction / nuclear disarmament treaty between the United States and Russia, and state that it came into force on 1 June 2003.",hybrid,"The Treaty Between the United States of America and the Russian Federation on Strategic Offensive Reductions, also called the Treaty of Moscow or SORT, was ""a strategic arms reduction treaty between the United States and Russia."" It was ""signed in Moscow on 24 May 2002"" and, after ratification by both countries, ""came into force on 1 June 2003.""

The excerpt also says it limited both sides to ""between 1,700 and 2,200 operationally deployed warheads each.""",pass
"Who are the two famous people mentioned in the article as being born or raised in Latrobe, Pennsylvania?",A correct answer must identify Fred Rogers and Arnold Palmer as the people born or raised in Latrobe. Both names should be included.,hybrid,"The article says Latrobe was the birthplace and childhood home of **Fred Rogers** and **Arnold Palmer**.

It states: “Latrobe was the birthplace and childhood home of children's television personality **Fred Rogers** and former professional golfer **Arnold Palmer**.”",pass
"Where do Sheffield United F.C. play their home matches, and what nickname do they have because of Sheffield’s cutlery-making history?","A correct answer must state that Sheffield United have played home games at Bramall Lane since their formation, and that they are nicknamed ""the Blades.""",hybrid,"Sheffield United F.C. play their home matches at **Bramall Lane**: the excerpt says, “**The team have played home games at Bramall Lane since their formation**.”

Their nickname is **“the Blades”**, “**due to Sheffield's history of cutlery production**.”",pass
"Which city is the provincial capital of Baghlan Province, and what importance does it have there?","A correct answer must name Pul-e Khumri and state that it functions as the main administrative, economic, and population center of the province.",hybrid,"The provincial capital of Baghlan Province is **Pul-e Khumri**. The excerpt says it ""functions as the **main administrative, economic, and population center** of the province.""",pass
